CIN,LLPIN,Entity Status,Date of Incorporation,Paid-up Capital,PAN,GSTIN,GSTR Variance %,ITC Availed,Audited Net Income,Inventory,Accounts Receivable,EBITDA,Long-Term Debt,Cheque Bounces,NACH Returns,OD Utilization,NACH Obligation %,CMR Rank,Asset Classification,Wilful Defaulter,Capacity Utilization,Machinery Status,Promoter Experience,Contingent Liabilities,Auditor Qualifications,Shareholding Pledge,Risk Premium,Target_Decision
U43777MH1992PTC910760,AAA-8185,Active,2008-08-30,64863979,BXHHM9857Y,27MYUXZ4386A1Z5,3.19,11675516.22,3080255,3285799,113396868,865960,82213546,2,1,82%,43%,6,SMA-1,False,78%,Legacy,28,1402922,Qualified,10%,4.38%,2
L10288MH2020PTC061491,AAA-7367,Active,2013-11-23,33261388,BEDBF0729H,27FVPZE5375U1Z5,1.06,5987049.84,10133249,2113528,127951791,15936579,17885660,1,1,52%,63%,3,Standard,False,76%,Modern,14,2961156,Clean,37%,1.37%,1
U22265GJ2012PTC182204,AAA-5455,Active,2021-11-26,41632505,RSYDL1590Q,27EQFGI1075C1Z5,1.64,7493850.9,7824867,3684127,9761575,1545723,11553605,0,1,50%,59%,3,Standard,False,69%,Legacy,26,3471579,Clean,28%,0.8%,1
U12380GJ2002PTC798165,AAA-6686,Active,2018-04-09,53313595,XPCNN9894G,27IIBOV1561D1Z5,11.13,9596447.1,3167690,4820569,99877512,446993,93911295,1,3,70%,42%,6,SMA-1,False,59%,Dilapidated,8,3557888,Qualified,19%,2.87%,2
L24136KA2016PTC590695,AAA-8174,Active,2006-07-12,82744229,PDADX9926D,27WVSFP6196M1Z5,3.23,14893961.22,27782676,3960692,253249574,6478615,46133214,8,2,110%,17%,8,NPA,True,80%,Modern,26,7481540,Adverse,14%,5.17%,0
L55048DL1999PTC021553,AAA-8218,Active,2018-02-02,5667494,YBWUJ1126A,27PNMOB3450O1Z5,2.84,1020148.92,1101812,391216,188579836,280263,33112358,2,2,84%,70%,7,SMA-1,False,41%,Legacy,28,641170,Qualified,5%,2.69%,2
L93454GJ2006PTC939080,AAA-2465,Active,2015-10-13,57357726,LEHHK4588K,27JJOCZ9331W1Z5,10.69,10324390.68,36159097,2585965,89533047,13215636,8311436,0,0,24%,75%,3,Standard,False,74%,Modern,36,2580327,Clean,7%,0.72%,1
L33062DL2009PTC987070,AAA-5508,Active,2013-08-27,33458529,YXDWS4598T,27SNFTU6733Y1Z5,5.78,6022535.22,415410,2993071,23398534,1807718,61943804,8,3,92%,36%,8,SMA-2,False,90%,Modern,24,6432793,Adverse,30%,1.15%,0
L12124GJ2013PTC427543,AAA-4895,Active,2001-09-14,36349528,CJZWF4887K,27MEJBA4247T1Z5,5.04,6542915.04,4835435,1349096,15160437,261290,52882303,2,3,83%,25%,4,SMA-1,False,47%,Modern,10,5907856,Qualified,2%,0.73%,2
U43407DL2011PTC347999,AAA-2220,Active,2020-06-02,67742954,IBTIN9040S,27CYPTZ0257K1Z5,9.13,12193731.72,4349378,719403,119107773,543248,98804746,3,2,79%,48%,4,SMA-2,False,57%,Dilapidated,37,4715845,Clean,26%,0.86%,2
L29619MH1997PTC223828,AAA-4819,Active,2006-09-16,52831253,PSGVO2884V,27YTYNA7017Z1Z5,7.24,9509625.54,2626929,2605909,178091793,1200629,82067781,3,2,62%,33%,4,SMA-1,False,75%,Dilapidated,35,7073864,Clean,48%,2.61%,2
U76106DL1999PTC593854,AAA-3718,Active,2010-02-06,13038877,CJCOV2967U,27YXQHG3355F1Z5,1.91,2346997.86,1257708,3763736,22501396,629666,55009728,3,1,67%,35%,7,SMA-1,False,75%,Modern,13,2410883,Qualified,46%,3.14%,2
U08855TN1992PTC957545,AAA-9970,Active,2015-06-22,8413978,XSUNW5916W,27KUBSJ4388C1Z5,5.7,1514516.04,4219801,4242227,6660812,392810,20989829,8,3,89%,21%,10,NPA,False,91%,Modern,23,1655193,Qualified,4%,4.2%,0
L36243KA1997PTC923740,AAA-9974,Active,2001-11-12,42474388,ZDKNB3645H,27WSDUO6157S1Z5,11.8,7645389.84,40624090,175635,365393376,5982951,58034304,0,1,34%,26%,2,Standard,False,71%,Dilapidated,40,7055523,Clean,21%,5.07%,1
L93986KA2011PTC455933,AAA-2617,Active,2011-08-05,64452710,TPDGQ6026J,27VMNOL5736V1Z5,2.28,11601487.8,12899111,1832613,80763105,1683651,13190711,1,1,44%,36%,3,Standard,False,41%,Modern,21,1991908,Clean,35%,4.49%,1
U36159GJ2001PTC934587,AAA-7058,Active,1998-07-16,2438135,AAFAA6978M,27KBGVR7951Y1Z5,9.26,438864.3,1610925,3171493,8801677,1929926,51735721,1,1,69%,16%,5,SMA-1,False,45%,Modern,16,165169,Qualified,30%,1.63%,2
L45474TN2023PTC450998,AAA-4706,Active,2004-11-12,1520485,RWNWH5157U,27IQDFI7494F1Z5,0.06,273687.3,3940496,4708596,86041862,830151,63901382,6,5,105%,63%,9,NPA,True,67%,Dilapidated,12,71238,Qualified,29%,4.11%,0
U54301DL2014PTC098015,AAA-4780,Active,2017-10-18,47591539,KZQND1123F,27XGQWN4537C1Z5,0.63,8566477.02,16339030,3669843,20086259,4204071,94872495,0,0,32%,51%,1,Standard,False,90%,Legacy,14,4536180,Clean,39%,3.02%,1
U19101MH1994PTC212536,AAA-5239,Active,2025-03-29,10144111,MZAAJ9937T,27MGTEN3563T1Z5,8.64,1825939.98,47133954,1203140,238892016,15124284,79043681,0,1,43%,21%,2,Standard,False,92%,Modern,17,1388068,Clean,9%,5.47%,1
U77269MH1992PTC171056,AAA-7294,Active,2018-09-14,28916177,LIJDM0027X,27RLAMU2926O1Z5,11.39,5204911.86,1830235,3305319,81178804,1981975,41340010,4,5,98%,28%,7,SMA-2,False,58%,Legacy,21,5335975,Qualified,45%,2.89%,0
U69282KA2024PTC371245,AAA-1861,Active,1999-05-27,51667275,WSGHE6835F,27FRLXM1853G1Z5,3.34,9300109.5,20249304,2600110,52061316,5987067,86580975,1,1,55%,54%,1,Standard,False,52%,Dilapidated,25,847479,Clean,22%,2.16%,1
L75282MH2021PTC969365,AAA-2162,Active,2007-07-28,61943747,SNEYV7396B,27NWBRN6134R1Z5,9.22,11149874.46,27963851,635442,112447739,7459844,27833113,1,1,17%,15%,3,Standard,False,75%,Modern,38,6500965,Clean,47%,5.11%,1
L82955TN2011PTC293025,AAA-5816,Active,2008-12-10,13696839,DAHQG3395Y,27OLGNM0281H1Z5,2.69,2465431.02,20577348,4357573,82089396,7695864,89907331,0,1,14%,26%,2,Standard,False,86%,Dilapidated,14,2144298,Clean,42%,2.19%,1
L76397GJ2012PTC995756,AAA-2475,Active,2022-10-06,82854398,DINRT9525S,27LDHBH8990H1Z5,7.36,14913791.64,29714586,4666520,32929531,16954674,64711801,1,1,46%,26%,2,Standard,False,63%,Dilapidated,21,14945527,Clean,44%,1.46%,1
L14721GJ1992PTC052959,AAA-9014,Dormant,2018-08-20,47769712,QUYZD6177C,27NHKCX8524H1Z5,7.25,8598548.16,3536110,161382,91380225,384754,35951822,3,3,83%,41%,5,SMA-2,False,94%,Modern,27,6133507,Clean,1%,2.11%,2
U13598TN2024PTC596841,AAA-7516,Active,2008-01-22,18972516,UOEPT3896Q,27KOBIK5897D1Z5,2.85,3415052.88,28498142,3211002,195613617,6810689,40950720,0,0,41%,50%,3,Standard,False,69%,Dilapidated,3,2982555,Clean,16%,4.0%,1
U81003DL1996PTC690968,AAA-4829,Active,2018-08-22,60003053,XLZFS9240D,27PFIES6355W1Z5,2.4,10800549.54,34995223,1068788,225111157,4730803,73222113,1,0,20%,71%,1,Standard,False,79%,Modern,7,10295012,Clean,47%,2.06%,1
U42726MH1995PTC665521,AAA-4880,Active,2006-12-27,8175509,IXNDN1135L,27VLTQA1911H1Z5,5.71,1471591.62,15875530,3030941,99718025,16012099,71880193,0,0,33%,72%,2,Standard,False,57%,Modern,37,3819,Clean,49%,1.38%,1
L79125MH2024PTC945988,AAA-5058,Active,2011-12-15,47428812,RIBWN8669C,27ZJTIA5445C1Z5,0.02,8537186.16,43374618,1723840,48368518,4444657,767202,1,0,33%,22%,2,Standard,False,65%,Legacy,21,3739354,Clean,44%,3.84%,1
L50396TN2002PTC179912,AAA-3289,Active,2002-02-13,24054037,MZMHC4989V,27BJEUB7178Q1Z5,10.95,4329726.66,2212215,1084998,68489781,1766679,93566549,1,1,69%,54%,5,SMA-1,False,41%,Dilapidated,13,2265455,Clean,33%,0.59%,2
L96985GJ2022PTC416049,AAA-4864,Active,2011-12-12,47882025,GLVDJ8554E,27VQSXW1936U1Z5,3.02,8618764.5,44034278,2063484,2916084,4287621,36186672,0,1,58%,12%,1,Standard,False,85%,Legacy,20,2577096,Clean,11%,3.74%,1
L94398GJ1994PTC165506,AAA-1530,Dormant,2026-02-01,35323299,XYLNX7589L,27OWWGJ6902S1Z5,8.41,6358193.82,3603072,2259279,36563347,7702926,37596000,3,4,110%,31%,9,NPA,False,53%,Legacy,6,1134582,Adverse,22%,1.88%,0
L82237GJ2019PTC026089,AAA-5088,Active,2013-06-20,58923661,QWSZJ2889W,27GTHPD4845I1Z5,1.67,10606258.98,28590675,1739669,92271743,11644900,56281274,1,0,49%,75%,3,Standard,False,72%,Legacy,9,11142446,Clean,37%,1.18%,1
L28581KA2007PTC405451,AAA-8448,Active,2012-09-06,66363448,ZLDYG1128V,27XEGNZ2277V1Z5,5.24,11945420.64,49668455,3123368,88953020,9981104,28538495,1,0,20%,14%,2,Standard,False,54%,Modern,37,6337095,Clean,11%,1.18%,1
L67949MH2023PTC349383,AAA-2926,Active,2025-04-30,20080098,NMZAV3076V,27ZJHKM9968Q1Z5,1.81,3614417.64,4874414,3181032,127584988,1719635,97017358,6,4,108%,26%,9,SMA-2,False,65%,Dilapidated,35,1830556,Qualified,35%,4.86%,0
L02098KA2020PTC660111,AAA-7348,Active,2017-03-04,13151767,KIOTV0118S,27WSUCR2208D1Z5,2.94,2367318.06,2925698,1660734,228096908,7952492,41403062,6,3,107%,41%,10,SMA-2,False,53%,Legacy,6,725036,Qualified,48%,4.93%,0
L16679DL2006PTC865360,AAA-5744,Active,1998-04-18,6342899,MEHVP7969F,27DEIQV6274J1Z5,4.39,1141721.82,28014403,2571199,5104865,13740149,79480511,6,4,101%,38%,8,SMA-2,True,74%,Legacy,39,740198,Qualified,12%,5.4%,0
L44279TN1997PTC808132,AAA-3517,Active,2024-08-24,56939871,KUSGY0777H,27EAVYP7904H1Z5,9.91,10249176.78,3059984,2390401,379186846,1574374,34979681,1,2,89%,38%,6,SMA-1,False,62%,Legacy,18,5105394,Clean,34%,4.18%,2
U94142KA1996PTC113503,AAA-3307,Struck Off,2014-04-07,24049029,XWNHO6875Q,27TAGMQ5818C1Z5,3.46,4328825.22,883750,4231576,1033394,1194077,5327753,3,5,103%,74%,8,NPA,True,85%,Modern,12,4615058,Qualified,40%,2.72%,0
L21637MH2018PTC306814,AAA-6650,Active,2000-01-16,36512899,HZCTX8669S,27GQVMM2587Q1Z5,7.2,6572321.82,37836065,712423,374843829,6261442,12201814,1,0,14%,56%,2,Standard,False,89%,Dilapidated,37,6005905,Clean,10%,3.59%,1
L76408MH1998PTC076766,AAA-6650,Active,2000-05-06,7769731,ZUBFZ1645P,27TGLFI6278U1Z5,7.74,1398551.58,20041217,3836671,52095946,17108533,51011331,0,0,45%,31%,3,Standard,False,49%,Modern,27,1020591,Clean,20%,1.04%,1
L80697KA2020PTC643875,AAA-5239,Active,2023-04-13,54514207,FPMPT9168Z,27KKPKY7353X1Z5,6.14,9812557.26,4340902,337426,82759232,902379,34339405,2,2,88%,57%,4,SMA-2,False,95%,Legacy,27,2927816,Clean,43%,0.55%,2
L21706KA2005PTC410114,AAA-2313,Active,2004-01-23,8320623,YKMBC0898I,27ETBLB1487Q1Z5,2.46,1497712.14,2217807,2023955,73931717,727023,24275497,1,2,76%,40%,5,SMA-2,False,47%,Dilapidated,5,407251,Clean,0%,3.9%,2
U25066KA2019PTC827790,AAA-5983,Active,2001-02-19,42912455,EEKAB1702M,27XMMQH6892G1Z5,0.09,7724241.9,4568094,3637156,24354303,753398,86916192,3,3,79%,29%,5,SMA-2,False,66%,Legacy,17,8054019,Clean,18%,5.18%,2
U33964TN2002PTC898975,AAA-9721,Active,2015-09-10,35910041,OGSLW0090L,27WKUCY0014T1Z5,4.0,6463807.38,1807843,3891065,132021161,888135,74889753,2,1,89%,40%,4,SMA-2,False,85%,Dilapidated,7,3647781,Clean,18%,4.04%,2
L79177GJ2024PTC647380,AAA-2050,Active,1998-09-20,6568159,DMBEX3026H,27RCQES9867A1Z5,3.57,1182268.62,21898404,25820,22481756,14674562,87919597,6,5,86%,13%,8,NPA,True,94%,Dilapidated,29,882055,Qualified,41%,2.18%,0
L50484KA2004PTC824980,AAA-6291,Active,2021-09-12,59605732,KXQEY6022A,27JBUKF0418Q1Z5,8.03,10729031.76,11999128,3786234,288086509,5486143,29906041,6,4,85%,63%,8,SMA-2,False,62%,Dilapidated,37,1566921,Qualified,26%,3.86%,0
U69307GJ2005PTC896321,AAA-9127,Active,2003-04-05,51381583,COTBN1149E,27ENBKB3093T1Z5,8.63,9248684.94,33238395,513262,149884961,10851751,7488326,1,1,35%,75%,2,Standard,False,52%,Dilapidated,31,51554,Clean,44%,1.26%,1
L07479TN2017PTC663254,AAA-2630,Active,1996-11-12,24044616,FOBTJ3121E,27NFPRY6298S1Z5,7.1,4328030.88,45044396,3531412,74766136,4487469,2803792,1,0,48%,33%,2,Standard,False,77%,Legacy,18,4679824,Clean,44%,2.01%,1
L93390MH2006PTC388105,AAA-4799,Active,1997-08-10,7082399,JTBWT2805Q,27HTLIZ1245O1Z5,7.97,1274831.82,1188211,1143517,8137604,460741,7284895,1,3,79%,60%,4,SMA-1,False,91%,Modern,10,1033852,Clean,47%,2.31%,2
U46026MH2001PTC354829,AAA-2470,Active,1996-07-15,51168622,EHFND8684Q,27UWHLD1531I1Z5,1.54,9210351.96,28835152,1520066,190698872,18750192,11526291,0,0,54%,11%,3,Standard,False,68%,Dilapidated,28,6926928,Clean,9%,3.25%,1
U91911DL1993PTC071601,AAA-8325,Active,2020-12-05,68642683,JRLWR9832Z,27NZLXI4557Y1Z5,3.85,12355682.94,34223826,4703056,8055260,19689701,42435615,0,0,47%,32%,1,Standard,False,56%,Modern,4,12761474,Clean,16%,4.9%,1
U88728GJ2015PTC980251,AAA-3406,Active,2017-09-18,67387901,BABUG5672B,27EZPWL5715A1Z5,11.13,12129822.18,22570853,3385333,37760497,2680272,91871453,0,1,26%,64%,3,Standard,False,91%,Legacy,7,12288219,Clean,34%,0.62%,1
U43714GJ2002PTC917350,AAA-5700,Active,2002-03-04,37905822,PINSP6116X,27OWGEM4076U1Z5,8.82,6823047.96,1230878,3147539,11857211,486423,43585263,2,1,81%,16%,7,SMA-1,False,43%,Modern,16,6948402,Qualified,42%,3.83%,2
L76532TN2012PTC010277,AAA-9068,Dormant,2025-11-26,72295207,PKIPM6950M,27HVLZT8563D1Z5,7.28,13013137.26,1902215,203476,74411272,676229,26779696,4,3,88%,30%,7,SMA-1,False,44%,Modern,36,11697307,Qualified,0%,5.19%,2
L64767GJ2000PTC584070,AAA-2831,Active,1996-10-20,33234502,KBBUP3455L,27VRQAP2838M1Z5,9.88,5982210.36,4128356,4212541,131395604,1797722,69849986,3,1,88%,39%,4,SMA-2,False,86%,Modern,33,5410596,Clean,23%,3.4%,2
U21840TN2002PTC527638,AAA-8871,Struck Off,2021-05-16,70716946,JAFCZ9599N,27RSTZY2218U1Z5,0.63,12729050.28,36464884,2903069,253448695,14627015,18245827,0,0,19%,11%,3,Standard,False,59%,Legacy,15,8452848,Clean,14%,1.0%,1
L16092MH1997PTC650286,AAA-3107,Active,2016-05-20,42867433,GEUAP5486F,27BRJWI0770W1Z5,4.02,7716137.94,24138022,1092415,94467376,1851355,71455301,0,0,43%,19%,1,Standard,False,74%,Legacy,26,3879723,Clean,38%,3.1%,1
U87655GJ2020PTC648847,AAA-8026,Active,1997-03-27,908860,MDDCE5310C,27NJUYI5518F1Z5,8.89,163594.8,2926697,4759686,5836168,490011,78483185,2,2,72%,45%,4,SMA-1,False,69%,Legacy,17,31336,Clean,28%,1.11%,2
U22199KA2005PTC269398,AAA-5083,Active,2002-04-06,9789510,IBPEK8164F,27AOJAX5512T1Z5,4.25,1762111.8,4728974,3190164,140855699,1921876,97655745,2,3,65%,40%,6,SMA-2,False,75%,Dilapidated,13,858339,Qualified,26%,3.94%,2
L09722DL1998PTC180373,AAA-2617,Active,1997-04-27,3198785,CDYYU0925E,27OJPUS5977M1Z5,10.09,575781.3,41751762,4023269,208770080,18355436,43258999,1,0,58%,16%,2,Standard,False,65%,Legacy,30,92326,Clean,47%,3.82%,1
L00995MH2011PTC987297,AAA-1058,Active,2005-01-20,38413485,RPKWW9538S,27ZOHDE4560H1Z5,1.55,6914427.3,4699432,3902553,74809598,1181574,84098425,7,5,101%,17%,9,SMA-2,False,91%,Modern,29,2172029,Qualified,21%,3.57%,0
L75059GJ2020PTC770947,AAA-8596,Active,1999-06-03,12347521,UZZMQ6687Z,27RNRQJ7342X1Z5,10.4,2222553.78,202454,2927347,32019552,562405,74461271,1,1,63%,32%,5,SMA-2,False,76%,Modern,10,1641783,Qualified,5%,3.8%,2
L76681KA2023PTC632676,AAA-1604,Active,2000-08-26,48914244,QZMMU0473L,27DVFGZ5088Y1Z5,1.35,8804563.92,4750409,4552840,11000471,1969993,28614125,4,3,93%,56%,8,NPA,True,44%,Modern,40,8649788,Qualified,31%,3.89%,0
L00510GJ2014PTC514323,AAA-1984,Active,2022-01-01,29202779,AADXA5055O,27GELYH2317J1Z5,2.51,5256500.22,12928785,3652694,300905499,18313135,36766011,0,0,12%,70%,2,Standard,False,89%,Modern,19,3053626,Clean,34%,1.74%,1
L29849DL2011PTC270909,AAA-9157,Struck Off,2025-12-27,25014665,SCHJJ0774E,27GLRTC1510O1Z5,5.61,4502639.7,553724,4140313,187282839,1444431,78961623,2,1,63%,46%,5,SMA-1,False,40%,Legacy,11,2526305,Qualified,20%,3.84%,2
U68187GJ2022PTC387426,AAA-8471,Active,2004-01-26,19226417,FXOLD6966G,27YGHAQ6355D1Z5,5.46,3460755.06,5552994,3830015,15861441,13171146,79469861,0,1,11%,31%,2,Standard,False,89%,Legacy,7,3509452,Clean,8%,4.39%,1
U42143TN2015PTC483473,AAA-7890,Active,2010-11-17,39497495,IGAFF4903F,27DJJBJ5636Q1Z5,0.9,7109549.1,2993158,458139,116188808,110275,84753603,3,1,63%,42%,5,SMA-2,False,58%,Dilapidated,10,880545,Clean,3%,3.37%,2
U49275DL2012PTC786882,AAA-8052,Active,2013-01-16,54237486,BHOKT1804G,27UCRNS1480Q1Z5,0.3,9762747.48,11849997,182496,44927696,2976143,62828178,1,1,24%,40%,3,Standard,False,47%,Legacy,36,7257428,Clean,25%,1.27%,1
L29198DL2001PTC780115,AAA-1186,Active,2017-10-30,27330801,PRHTS2681Q,27TJHSF0693U1Z5,0.25,4919544.18,4137572,4906242,49216699,316885,17593633,5,3,85%,63%,10,NPA,False,68%,Modern,14,4731786,Adverse,28%,1.6%,0
U91428TN2012PTC729017,AAA-8463,Active,2002-08-14,11914061,QJPIQ0012I,27DYTQP9421A1Z5,6.34,2144530.98,32552240,3311379,59406570,7639608,50575459,0,0,18%,21%,1,Standard,False,81%,Modern,40,2208305,Clean,2%,2.09%,1
U38062KA2009PTC355839,AAA-5077,Active,2023-07-15,34285309,MKNUB9932M,27AGHNQ7264T1Z5,4.28,6171355.62,3424689,3891123,38483100,1035704,24413593,8,3,92%,32%,7,NPA,False,78%,Dilapidated,24,5917038,Adverse,17%,2.57%,0
L70313MH1998PTC818574,AAA-8598,Active,2022-06-28,78904401,VVXTT3459P,27RZDTC5022E1Z5,1.87,14202792.18,4215378,3680369,27796465,1248298,4881497,4,3,73%,20%,6,SMA-2,False,49%,Dilapidated,24,815260,Qualified,11%,5.18%,2
L90691MH2016PTC596804,AAA-1489,Active,2006-11-23,81325522,FQUPF2193Q,27HFJJJ6057E1Z5,2.79,14638593.96,22818177,3276264,390237638,1054330,41658470,0,0,44%,18%,2,Standard,False,45%,Legacy,4,15675461,Clean,16%,0.89%,1
U35196GJ2009PTC291806,AAA-9801,Dormant,2003-09-15,94944551,JUORS0279V,27LYIHT6106Z1Z5,7.85,17090019.18,3608846,1170411,65870529,1522672,73618602,1,3,83%,51%,6,SMA-1,False,56%,Modern,34,17134425,Clean,18%,4.76%,2
U10540KA2005PTC146227,AAA-7006,Active,2000-12-25,18326664,THSNO5326I,27XYRCL6177Q1Z5,3.15,3298799.52,1668218,4073004,104265417,1806393,50712281,5,2,109%,74%,8,NPA,False,48%,Legacy,14,330371,Qualified,11%,1.68%,0
L65769DL2016PTC433485,AAA-9418,Active,2023-09-11,19172622,ZRGOU5199X,27OREHE6625G1Z5,6.02,3451071.96,19940825,3084740,6653220,1111102,40375728,1,0,34%,17%,3,Standard,False,74%,Dilapidated,22,3578104,Clean,48%,1.45%,1
U81030MH2022PTC707031,AAA-9236,Active,2015-10-04,42458732,DZNYD3182X,27RAARC2087E1Z5,7.42,7642571.76,4600597,4945462,224679185,885570,11175956,7,4,91%,47%,7,NPA,True,67%,Dilapidated,40,4280973,Qualified,0%,4.67%,0
L49053MH1996PTC340382,AAA-7775,Active,2023-10-23,16180008,ZZUSW2593X,27HVUWD2545U1Z5,4.47,2912401.44,4709396,2517286,36203032,5370410,50702845,1,1,21%,20%,1,Standard,False,75%,Modern,12,139164,Clean,26%,1.92%,1
L77533DL1998PTC740790,AAA-7541,Active,2015-12-25,88103693,QYXAA3395G,27LJGOO2111U1Z5,7.66,15858664.74,2234067,2153615,261223591,100571,61978276,7,4,86%,75%,10,NPA,True,91%,Dilapidated,31,7182073,Qualified,41%,1.23%,0
L62665TN2005PTC492729,AAA-6834,Active,2014-05-30,58613382,HGYCX9915A,27KZDQH9266G1Z5,1.01,10550408.76,20324514,649672,356725630,8008147,52418186,0,0,36%,50%,2,Standard,False,58%,Legacy,5,11100370,Clean,5%,1.71%,1
L03389DL2011PTC139583,AAA-4240,Struck Off,2001-02-27,35950071,UXNCQ2834W,27HDWXJ9761H1Z5,2.78,6471012.78,21777254,2930069,80312799,8689486,95490360,1,1,42%,62%,2,Standard,False,84%,Modern,11,6042782,Clean,33%,2.71%,1
L86670MH1999PTC198112,AAA-8311,Active,2006-07-23,43220857,CNQCB1630D,27NRIMC1532W1Z5,8.55,7779754.26,2715679,518459,438434609,1052635,4211933,3,2,88%,28%,10,SMA-2,True,84%,Dilapidated,37,2495073,Qualified,4%,1.57%,0
U96693DL2016PTC606699,AAA-7350,Active,2001-12-04,46372580,YHFHX0885E,27BOIVB5643N1Z5,4.04,8347064.4,474723,4542771,207874696,1475582,38012312,4,2,65%,55%,4,SMA-2,False,65%,Dilapidated,7,3706153,Clean,35%,3.68%,2
L60095KA1990PTC921048,AAA-6512,Active,2009-04-23,86781518,YBLCI0332Z,27DIZGU1243Q1Z5,8.81,15620673.24,1302574,4099029,125016776,884866,82571883,2,1,72%,65%,5,SMA-1,False,63%,Modern,32,4301973,Clean,10%,3.16%,2
L49007TN2010PTC790693,AAA-1964,Active,1999-06-02,21447141,FBEFU3892L,27JNVUW9615N1Z5,6.47,3860485.38,23915764,979967,182143916,16842605,24705491,1,0,22%,55%,1,Standard,False,48%,Dilapidated,7,2503020,Clean,16%,2.44%,1
L50220MH2011PTC682595,AAA-8671,Active,2013-09-12,36136353,ZWPBS0599R,27CYRVB9610H1Z5,11.23,6504543.54,4097007,764736,60773638,354298,50098854,5,4,101%,63%,10,NPA,False,89%,Legacy,20,4780467,Qualified,4%,3.4%,0
U23986GJ2007PTC652596,AAA-5988,Dormant,2005-05-09,36373928,QAZYV6538T,27PVQWF5506G1Z5,0.03,6547307.04,13699043,980407,12550627,1130275,53297360,1,0,60%,29%,3,Standard,False,60%,Legacy,6,582978,Clean,0%,2.41%,1
L00155GJ2004PTC518482,AAA-8441,Active,2014-03-01,58869576,LUCZQ3596X,27BXCDQ0719W1Z5,3.43,10596523.68,20546189,2985893,271258212,2867792,81763757,1,0,29%,31%,2,Standard,False,40%,Legacy,4,5321563,Clean,22%,3.1%,1
U02804KA2002PTC028972,AAA-8029,Struck Off,2008-03-14,48539839,VRZMI6986U,27ZFOBE2104H1Z5,2.93,8737171.02,2862959,4414007,3972471,1897845,88915332,1,3,78%,63%,5,SMA-2,False,63%,Dilapidated,18,5412510,Qualified,43%,3.58%,2
L96160GJ2019PTC413662,AAA-3655,Active,2024-01-28,40594654,WMDXE6993E,27WBFEK5724Q1Z5,2.29,7307037.72,47128764,4878876,168211606,15767505,31850459,1,0,12%,48%,3,Standard,False,87%,Legacy,29,5063787,Clean,4%,5.49%,1
L61076GJ1993PTC593217,AAA-8843,Active,2018-06-28,28051741,GFNPD1751A,27JKFZF2905V1Z5,4.91,5049313.38,4155355,1863858,41078634,468740,63862747,2,1,73%,18%,6,SMA-2,False,46%,Legacy,10,334617,Qualified,36%,1.26%,2
L22783GJ1994PTC947055,AAA-8779,Active,2018-08-07,2107107,SXOYK0555S,27ANVCY8865J1Z5,11.63,379279.26,33549192,2685618,76168404,5778706,58932003,1,0,11%,53%,3,Standard,False,57%,Legacy,10,321559,Clean,26%,4.78%,1
U34070MH1999PTC660070,AAA-6179,Active,2020-04-28,3755979,ZIPQO2478X,27DHJFT2242N1Z5,11.23,676076.22,4788349,4374477,67892337,12092909,66757800,1,0,49%,46%,2,Standard,False,90%,Modern,27,380847,Clean,10%,1.45%,1
L77943MH2002PTC845662,AAA-6141,Struck Off,2020-09-22,70674419,FEUHY5468P,27NSYNC9815P1Z5,7.01,12721395.42,17461830,2621975,44350765,15312440,57027298,0,0,35%,56%,2,Standard,False,51%,Modern,18,12960650,Clean,0%,4.44%,1
U69156TN2012PTC164510,AAA-6461,Active,1998-08-12,38918096,CEJNN4491J,27BAVIB6014X1Z5,9.64,7005257.28,20909763,394817,8139708,15182983,93910511,4,3,109%,42%,10,SMA-2,False,79%,Modern,5,4006598,Adverse,29%,5.14%,0
L55484GJ1993PTC321674,AAA-2719,Active,2007-11-15,65075171,GWTCI0660L,27ORPFW2348J1Z5,8.81,11713530.78,31038567,1690753,67267364,19753041,21049480,1,1,12%,56%,2,Standard,False,65%,Dilapidated,11,7890077,Clean,22%,3.28%,1
L34153MH2013PTC479644,AAA-3374,Active,2021-06-05,73564532,CUHMK9162P,27LGSEH5826K1Z5,9.55,13241615.76,46381076,826638,168542429,12751656,61606352,0,0,24%,75%,2,Standard,False,89%,Dilapidated,11,6784329,Clean,20%,4.52%,1
L71293GJ2016PTC099423,AAA-9051,Active,2009-03-21,8811583,THABH7097G,27CPBQQ3954X1Z5,9.19,1586084.94,32582405,3046019,163507769,19283055,48174001,1,1,39%,61%,2,Standard,False,41%,Legacy,3,727560,Clean,26%,4.39%,1
L81328KA2012PTC015014,AAA-4135,Active,1998-02-09,43706798,DQMMC6574G,27IBNHS8880G1Z5,2.66,7867223.64,49549806,2850121,46024725,8881487,28527095,0,1,59%,25%,1,Standard,False,91%,Modern,19,6261847,Clean,17%,4.72%,1
U08447MH1996PTC821219,AAA-9679,Dormant,2023-12-01,4641271,HUTHR0190G,27TTOCN8065R1Z5,1.52,835428.78,3239756,195,206457957,385256,49073986,4,1,78%,75%,5,SMA-1,False,61%,Dilapidated,32,793116,Qualified,27%,3.43%,2
U72667GJ2008PTC477213,AAA-2012,Struck Off,2000-02-08,23526044,HOPLM0917A,27XXCBQ8528Z1Z5,11.02,4234687.92,18639084,4661054,38228539,18124432,17415439,1,0,45%,50%,3,Standard,False,53%,Legacy,12,8175,Clean,20%,4.18%,1
